ticker,sector,size_tier
CERT,Health Care,small
CF,Materials,large
CFFN,Financials,small
CFG,Financials,large
CFR,Financials,mid
CG,Financials,mid
CGNX,Information Technology,mid
CHCO,Financials,small
CHD,Consumer Staples,large
CHDN,Consumer Discretionary,mid
CHE,Health Care,mid
CHEF,Consumer Staples,small
CHH,Consumer Discretionary,mid
CHRD,Energy,mid
CHRW,Industrials,large
CHTR,Communication Services,large
CHWY,Consumer Discretionary,mid
CI,Health Care,large
CIEN,Information Technology,large
CINF,Financials,large
CL,Consumer Staples,large
CLF,Materials,mid
CLH,Industrials,mid
CLSK,Information Technology,small
CLX,Consumer Staples,large
CMC,Materials,mid
CMCSA,Communication Services,large
CME,Financials,large
CMG,Consumer Discretionary,large
CMI,Industrials,large
CMS,Utilities,large
CNC,Health Care,large
CNH,Industrials,mid
CNK,Communication Services,small
CNM,Industrials,mid
CNMD,Health Care,small
CNO,Financials,mid
CNP,Utilities,large
CNR,Energy,small
CNS,Financials,small
CNX,Energy,mid
CNXC,Industrials,small
CNXN,Information Technology,small
COCO,Consumer Staples,small
COF,Financials,large
COHR,Information Technology,large
COHU,Information Technology,small
COIN,Financials,large
COKE,Consumer Staples,mid
COLB,Financials,mid
COLL,Health Care,small
COLM,Consumer Discretionary,mid
CON,Health Care,small
COO,Health Care,large
COP,Energy,large
COR,Health Care,large
CORT,Health Care,small
COST,Consumer Staples,large
COTY,Consumer Staples,small
CPAY,Financials,large
CPB,Consumer Staples,small
CPF,Financials,small
CPK,Utilities,small
CPRI,Consumer Discretionary,mid
CPRT,Industrials,large
CPT,Real Estate,large
CR,Industrials,mid
CRBG,Financials,mid
CRC,Energy,small
CRGY,Energy,small
CRH,Materials,large
CRI,Consumer Discretionary,small
CRK,Energy,small
CRL,Health Care,large
CRM,Information Technology,large
CROX,Consumer Discretionary,mid
CRS,Industrials,mid
CRSR,Information Technology,small
CRUS,Information Technology,mid
CRVL,Health Care,small
CRWD,Information Technology,large
CSCO,Information Technology,large
CSGP,Real Estate,large
CSL,Industrials,mid
CSR,Real Estate,small
CSW,Industrials,small
CSX,Industrials,large
CTAS,Industrials,large
CTRE,Real Estate,mid
CTS,Information Technology,small
CTSH,Information Technology,large
CTVA,Materials,large
CUBE,Real Estate,mid
CUBI,Financials,small
CURB,Real Estate,small
CUZ,Real Estate,mid
CVBF,Financials,small
CVCO,Consumer Discretionary,small
CVI,Energy,small
CVLT,Information Technology,mid
CVNA,Consumer Discretionary,large
CVS,Health Care,large
CVSA,Consumer Discretionary,small
CVX,Energy,large
CW,Industrials,mid
CWEN,Utilities,small
CWEN-A,Utilities,small
CWK,Real Estate,small
CWST,Industrials,small
CWT,Utilities,small
CXM,Information Technology,small
CXT,Information Technology,mid
CXW,Industrials,small
CYTK,Health Care,mid
CZR,Consumer Discretionary,small
D,Utilities,large
DAL,Industrials,large
DAN,Consumer Discretionary,small
DAR,Consumer Staples,mid
DASH,Consumer Discretionary,large
DAVE,Financials,small
DBD,Information Technology,small
DBX,Information Technology,mid
DCH,Consumer Discretionary,small
DCI,Industrials,mid
DCOM,Financials,small
DD,Materials,large
DDOG,Information Technology,large
DE,Industrials,large
DEA,Real Estate,small
DECK,Consumer Discretionary,large
DEI,Real Estate,small
DELL,Information Technology,large
DFH,Consumer Discretionary,small
DFIN,Financials,small
DG,Consumer Staples,large
DGII,Information Technology,small
DGX,Health Care,large
DHI,Consumer Discretionary,large
DHR,Health Care,large
DINO,Energy,mid
DIOD,Information Technology,small
DIS,Communication Services,large
DKS,Consumer Discretionary,mid
DLB,Information Technology,mid
DLR,Real Estate,large
DLTR,Consumer Staples,large
DLX,Industrials,small
DMC,Consumer Staples,small
DNOW,Industrials,small
DOC,Real Estate,large
DOCN,Information Technology,mid
DOCS,Health Care,mid
DOCU,Information Technology,mid
DORM,Consumer Discretionary,small
DOV,Industrials,large
DOW,Materials,large
DPZ,Consumer Discretionary,large
DRH,Real Estate,small
DRI,Consumer Discretionary,large
DT,Information Technology,mid
DTE,Utilities,large
DTM,Energy,mid
DUK,Utilities,large
DUOL,Consumer Discretionary,mid
DV,Communication Services,small
DVA,Health Care,large
DVN,Energy,large
DXC,Information Technology,small
DXCM,Health Care,large
DXPE,Industrials,small
DY,Industrials,mid
EA,Communication Services,large
EAT,Consumer Discretionary,small
EBAY,Consumer Discretionary,large
EBC,Financials,small
ECG,Industrials,small
ECHO,Communication Services,large
ECL,Materials,large
ECPG,Financials,small
ED,Utilities,large
EEFT,Financials,mid
EFC,Financials,small
EFOR,Information Technology,small
EFX,Industrials,large
EG,Financials,large
EGBN,Financials,small
EGP,Real Estate,mid
EHC,Health Care,mid
EIG,Financials,small
EIX,Utilities,large
EL,Consumer Staples,large
ELAN,Health Care,mid
ELF,Consumer Staples,mid
ELS,Real Estate,mid
ELV,Health Care,large
EME,Industrials,large
EMN,Materials,small
EMR,Industrials,large
ENOV,Health Care,small
ENPH,Information Technology,small
ENR,Consumer Staples,small
ENS,Industrials,mid
ENSG,Health Care,mid
ENTG,Information Technology,mid
ENVA,Financials,small
EOG,Energy,large
EPAC,Industrials,small
EPAM,Information Technology,small
EPC,Consumer Staples,small
EPR,Real Estate,mid
EPRT,Real Estate,small
EQH,Financials,mid
EQIX,Real Estate,large
EQR,Real Estate,large
EQT,Energy,large
ERIE,Financials,large
ES,Utilities,large
ESAB,Industrials,mid
ESE,Industrials,small
ESI,Materials,small
ESNT,Financials,mid
ESS,Real Estate,large
ETN,Industrials,large
ETR,Utilities,large
ETSY,Consumer Discretionary,small
EVR,Financials,mid
EVRG,Utilities,large
EVTC,Financials,small
EW,Health Care,large
EWBC,Financials,mid
EXC,Utilities,large
EXE,Energy,large
EXEL,Health Care,mid
EXLS,Industrials,mid
EXP,Materials,mid
EXPD,Industrials,large
EXPE,Consumer Discretionary,large
EXPO,Industrials,mid
EXR,Real Estate,large
EXTR,Information Technology,small
EYE,Consumer Discretionary,small
EZPW,Financials,small
F,Consumer Discretionary,large
FA,Industrials,small
FAF,Financials,mid
FANG,Energy,large
FAST,Industrials,large
FBIN,Industrials,mid
FBK,Financials,small
FBNC,Financials,small
FBP,Financials,small
FBRT,Real Estate,small
FCF,Financials,small
FCFS,Financials,mid
FCN,Industrials,mid
FCPT,Real Estate,small
FCX,Materials,large
FDS,Financials,large
FDX,Industrials,large
FDXF,Industrials,large
FE,Utilities,large
FELE,Industrials,small
FFBC,Financials,small
FFIN,Financials,mid
FFIV,Information Technology,large
FG,Financials,small
FHB,Financials,small
FHI,Financials,mid
FHN,Financials,mid
FIBK,Financials,small
FICO,Information Technology,large
FIS,Financials,large
FISV,Financials,large
FITB,Financials,large
FIVE,Consumer Discretionary,mid
FIX,Industrials,large
FIZZ,Consumer Staples,small
FLEX,Information Technology,large
FLG,Financials,mid
FLO,Consumer Staples,small
FLR,Industrials,mid
FLS,Industrials,mid
FMC,Materials,small
FN,Information Technology,mid
FNB,Financials,mid
FND,Consumer Discretionary,mid
FNF,Financials,mid
FORM,Information Technology,small
FOUR,Financials,mid
FOX,Communication Services,large
FOXA,Communication Services,large
FOXF,Consumer Discretionary,small
FR,Real Estate,mid
FRPT,Consumer Staples,small
FRT,Real Estate,large
FSLR,Information Technology,large
FSS,Industrials,small
FTDR,Consumer Discretionary,small
FTI,Energy,mid
FTNT,Information Technology,large
FTRE,Health Care,small
FTV,Industrials,large
FUL,Materials,small
FULT,Financials,small
FUN,Consumer Discretionary,small
G,Industrials,mid
GAP,Consumer Discretionary,mid
GATX,Industrials,mid
GBCI,Financials,mid
GBX,Industrials,small
GD,Industrials,large
GDDY,Information Technology,large
GE,Industrials,large
GEF,Materials,mid
GEHC,Health Care,large
GEN,Information Technology,large
